chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
512MB,spatial,4.10 GB,hal24,24,128gb,8,global_mean,0.6030821800231934,False,1,1
512MB,spatial,4.10 GB,hal24,24,128gb,8,temporal_mean,0.5820214748382568,False,1,1
512MB,spatial,4.10 GB,hal24,24,128gb,8,climatology,0.9298243522644043,False,1,1
512MB,spatial,4.10 GB,hal24,24,128gb,8,anomaly,1.606128454208374,False,1,1
512MB,temporal,4.10 GB,hal24,24,128gb,8,global_mean,0.5363273620605469,False,1,1
512MB,temporal,4.10 GB,hal24,24,128gb,8,temporal_mean,0.4774901866912842,False,1,1
512MB,temporal,4.10 GB,hal24,24,128gb,8,climatology,0.8839776515960693,False,1,1
512MB,temporal,4.10 GB,hal24,24,128gb,8,anomaly,2.022810459136963,False,1,1
512MB,auto,4.10 GB,hal24,24,128gb,8,global_mean,0.9092752933502197,False,1,1
512MB,auto,4.10 GB,hal24,24,128gb,8,temporal_mean,0.8030824661254883,False,1,1
512MB,auto,4.10 GB,hal24,24,128gb,8,climatology,1.3506731986999512,False,1,1
512MB,auto,4.10 GB,hal24,24,128gb,8,anomaly,2.0196940898895264,False,1,1
512MB,spatial,4.10 GB,hal24,24,128gb,8,global_mean,0.6030821800231934,False,1,1
512MB,spatial,4.10 GB,hal24,24,128gb,8,temporal_mean,0.5820214748382568,False,1,1
512MB,spatial,4.10 GB,hal24,24,128gb,8,climatology,0.9298243522644043,False,1,1
512MB,spatial,4.10 GB,hal24,24,128gb,8,anomaly,1.606128454208374,False,1,1
512MB,temporal,4.10 GB,hal24,24,128gb,8,global_mean,0.5363273620605469,False,1,1
512MB,temporal,4.10 GB,hal24,24,128gb,8,temporal_mean,0.4774901866912842,False,1,1
512MB,temporal,4.10 GB,hal24,24,128gb,8,climatology,0.8839776515960693,False,1,1
512MB,temporal,4.10 GB,hal24,24,128gb,8,anomaly,2.022810459136963,False,1,1
512MB,auto,4.10 GB,hal24,24,128gb,8,global_mean,0.9092752933502197,False,1,1
512MB,auto,4.10 GB,hal24,24,128gb,8,temporal_mean,0.8030824661254883,False,1,1
512MB,auto,4.10 GB,hal24,24,128gb,8,climatology,1.3506731986999512,False,1,1
512MB,auto,4.10 GB,hal24,24,128gb,8,anomaly,2.0196940898895264,False,1,1
1024MB,spatial,8.19 GB,hal24,24,128gb,8,global_mean,1.1449837684631348,False,1,1
1024MB,spatial,8.19 GB,hal24,24,128gb,8,temporal_mean,1.110292673110962,False,1,1
