chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,worker_per_node
256MB,auto,4.10 GB,hal24,24,128gb,4,global_mean,0.29506540298461914,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,temporal_mean,0.2196645736694336,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,climatology,0.5773332118988037,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,anomaly,0.974219799041748,False,4
64MB,spatial,1.02 GB,hal24,24,128gb,4,global_mean,0.14491009712219238,False,4
64MB,spatial,1.02 GB,hal24,24,128gb,4,temporal_mean,0.1538224220275879,False,4
64MB,spatial,1.02 GB,hal24,24,128gb,4,climatology,0.23714351654052734,False,4
64MB,spatial,1.02 GB,hal24,24,128gb,4,anomaly,0.391711950302124,False,4
64MB,temporal,1.02 GB,hal24,24,128gb,4,global_mean,0.17848849296569824,False,4
64MB,temporal,1.02 GB,hal24,24,128gb,4,temporal_mean,0.13254427909851074,False,4
64MB,temporal,1.02 GB,hal24,24,128gb,4,climatology,0.26468777656555176,False,4
64MB,temporal,1.02 GB,hal24,24,128gb,4,anomaly,0.43657922744750977,False,4
64MB,auto,1.02 GB,hal24,24,128gb,4,global_mean,0.1439504623413086,False,4
64MB,auto,1.02 GB,hal24,24,128gb,4,temporal_mean,0.19751620292663574,False,4
64MB,auto,1.02 GB,hal24,24,128gb,4,climatology,0.2439870834350586,False,4
64MB,auto,1.02 GB,hal24,24,128gb,4,anomaly,0.5648255348205566,False,4
128MB,spatial,2.05 GB,hal24,24,128gb,4,global_mean,0.24405813217163086,False,4
128MB,spatial,2.05 GB,hal24,24,128gb,4,temporal_mean,0.24987554550170898,False,4
128MB,spatial,2.05 GB,hal24,24,128gb,4,climatology,0.3043677806854248,False,4
128MB,spatial,2.05 GB,hal24,24,128gb,4,anomaly,0.6179516315460205,False,4
128MB,temporal,2.05 GB,hal24,24,128gb,4,global_mean,0.27013158798217773,False,4
128MB,temporal,2.05 GB,hal24,24,128gb,4,temporal_mean,0.22675204277038574,False,4
128MB,temporal,2.05 GB,hal24,24,128gb,4,climatology,0.3441596031188965,False,4
128MB,temporal,2.05 GB,hal24,24,128gb,4,anomaly,0.5775468349456787,False,4
128MB,auto,2.05 GB,hal24,24,128gb,4,global_mean,0.17800545692443848,False,4
128MB,auto,2.05 GB,hal24,24,128gb,4,temporal_mean,0.16350054740905762,False,4
128MB,auto,2.05 GB,hal24,24,128gb,4,climatology,0.3174934387207031,False,4
128MB,auto,2.05 GB,hal24,24,128gb,4,anomaly,0.6847195625305176,False,4
256MB,spatial,4.10 GB,hal24,24,128gb,4,global_mean,0.42861318588256836,False,4
256MB,spatial,4.10 GB,hal24,24,128gb,4,temporal_mean,0.4923408031463623,False,4
256MB,spatial,4.10 GB,hal24,24,128gb,4,climatology,0.462432861328125,False,4
256MB,spatial,4.10 GB,hal24,24,128gb,4,anomaly,0.9992153644561768,False,4
256MB,temporal,4.10 GB,hal24,24,128gb,4,global_mean,0.49338531494140625,False,4
256MB,temporal,4.10 GB,hal24,24,128gb,4,temporal_mean,0.42803096771240234,False,4
256MB,temporal,4.10 GB,hal24,24,128gb,4,climatology,0.5280144214630127,False,4
256MB,temporal,4.10 GB,hal24,24,128gb,4,anomaly,1.2580957412719727,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,global_mean,0.29506540298461914,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,temporal_mean,0.2196645736694336,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,climatology,0.5773332118988037,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,anomaly,0.974219799041748,False,4
512MB,spatial,8.19 GB,hal24,24,128gb,4,global_mean,1.1259164810180664,False,4
512MB,spatial,8.19 GB,hal24,24,128gb,4,temporal_mean,0.9725444316864014,False,4
512MB,spatial,8.19 GB,hal24,24,128gb,4,climatology,0.8100347518920898,False,4
512MB,spatial,8.19 GB,hal24,24,128gb,4,anomaly,1.7355093955993652,False,4
512MB,temporal,8.19 GB,hal24,24,128gb,4,global_mean,0.9746849536895752,False,4
512MB,temporal,8.19 GB,hal24,24,128gb,4,temporal_mean,0.9226486682891846,False,4
512MB,temporal,8.19 GB,hal24,24,128gb,4,climatology,0.8516278266906738,False,4
512MB,temporal,8.19 GB,hal24,24,128gb,4,anomaly,1.2279012203216553,False,4
512MB,auto,8.19 GB,hal24,24,128gb,4,global_mean,0.9516856670379639,False,4
512MB,auto,8.19 GB,hal24,24,128gb,4,temporal_mean,1.5284059047698975,False,4
512MB,auto,8.19 GB,hal24,24,128gb,4,climatology,0.8638386726379395,False,4
512MB,auto,8.19 GB,hal24,24,128gb,4,anomaly,2.1828267574310303,False,4
64MB,spatial,1.02 GB,hal24,24,128gb,4,global_mean,0.14491009712219238,False,4
64MB,spatial,1.02 GB,hal24,24,128gb,4,temporal_mean,0.1538224220275879,False,4
64MB,spatial,1.02 GB,hal24,24,128gb,4,climatology,0.23714351654052734,False,4
64MB,spatial,1.02 GB,hal24,24,128gb,4,anomaly,0.391711950302124,False,4
64MB,temporal,1.02 GB,hal24,24,128gb,4,global_mean,0.17848849296569824,False,4
64MB,temporal,1.02 GB,hal24,24,128gb,4,temporal_mean,0.13254427909851074,False,4
64MB,temporal,1.02 GB,hal24,24,128gb,4,climatology,0.26468777656555176,False,4
64MB,temporal,1.02 GB,hal24,24,128gb,4,anomaly,0.43657922744750977,False,4
64MB,auto,1.02 GB,hal24,24,128gb,4,global_mean,0.1439504623413086,False,4
64MB,auto,1.02 GB,hal24,24,128gb,4,temporal_mean,0.19751620292663574,False,4
64MB,auto,1.02 GB,hal24,24,128gb,4,climatology,0.2439870834350586,False,4
64MB,auto,1.02 GB,hal24,24,128gb,4,anomaly,0.5648255348205566,False,4
128MB,spatial,2.05 GB,hal24,24,128gb,4,global_mean,0.24405813217163086,False,4
128MB,spatial,2.05 GB,hal24,24,128gb,4,temporal_mean,0.24987554550170898,False,4
128MB,spatial,2.05 GB,hal24,24,128gb,4,climatology,0.3043677806854248,False,4
128MB,spatial,2.05 GB,hal24,24,128gb,4,anomaly,0.6179516315460205,False,4
128MB,temporal,2.05 GB,hal24,24,128gb,4,global_mean,0.27013158798217773,False,4
128MB,temporal,2.05 GB,hal24,24,128gb,4,temporal_mean,0.22675204277038574,False,4
128MB,temporal,2.05 GB,hal24,24,128gb,4,climatology,0.3441596031188965,False,4
128MB,temporal,2.05 GB,hal24,24,128gb,4,anomaly,0.5775468349456787,False,4
128MB,auto,2.05 GB,hal24,24,128gb,4,global_mean,0.17800545692443848,False,4
128MB,auto,2.05 GB,hal24,24,128gb,4,temporal_mean,0.16350054740905762,False,4
128MB,auto,2.05 GB,hal24,24,128gb,4,climatology,0.3174934387207031,False,4
128MB,auto,2.05 GB,hal24,24,128gb,4,anomaly,0.6847195625305176,False,4
256MB,spatial,4.10 GB,hal24,24,128gb,4,global_mean,0.42861318588256836,False,4
256MB,spatial,4.10 GB,hal24,24,128gb,4,temporal_mean,0.4923408031463623,False,4
256MB,spatial,4.10 GB,hal24,24,128gb,4,climatology,0.462432861328125,False,4
256MB,spatial,4.10 GB,hal24,24,128gb,4,anomaly,0.9992153644561768,False,4
256MB,temporal,4.10 GB,hal24,24,128gb,4,global_mean,0.49338531494140625,False,4
256MB,temporal,4.10 GB,hal24,24,128gb,4,temporal_mean,0.42803096771240234,False,4
256MB,temporal,4.10 GB,hal24,24,128gb,4,climatology,0.5280144214630127,False,4
256MB,temporal,4.10 GB,hal24,24,128gb,4,anomaly,1.2580957412719727,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,global_mean,0.29506540298461914,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,temporal_mean,0.2196645736694336,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,climatology,0.5773332118988037,False,4
256MB,auto,4.10 GB,hal24,24,128gb,4,anomaly,0.974219799041748,False,4
512MB,spatial,8.19 GB,hal24,24,128gb,4,global_mean,1.1259164810180664,False,4
512MB,spatial,8.19 GB,hal24,24,128gb,4,temporal_mean,0.9725444316864014,False,4
512MB,spatial,8.19 GB,hal24,24,128gb,4,climatology,0.8100347518920898,False,4
512MB,spatial,8.19 GB,hal24,24,128gb,4,anomaly,1.7355093955993652,False,4
512MB,temporal,8.19 GB,hal24,24,128gb,4,global_mean,0.9746849536895752,False,4
512MB,temporal,8.19 GB,hal24,24,128gb,4,temporal_mean,0.9226486682891846,False,4
512MB,temporal,8.19 GB,hal24,24,128gb,4,climatology,0.8516278266906738,False,4
512MB,temporal,8.19 GB,hal24,24,128gb,4,anomaly,1.2279012203216553,False,4
512MB,auto,8.19 GB,hal24,24,128gb,4,global_mean,0.9516856670379639,False,4
512MB,auto,8.19 GB,hal24,24,128gb,4,temporal_mean,1.5284059047698975,False,4
512MB,auto,8.19 GB,hal24,24,128gb,4,climatology,0.8638386726379395,False,4
512MB,auto,8.19 GB,hal24,24,128gb,4,anomaly,2.1828267574310303,False,4
1024MB,spatial,16.38 GB,hal24,24,128gb,4,global_mean,2.066664457321167,False,4
1024MB,spatial,16.38 GB,hal24,24,128gb,4,temporal_mean,2.0661795139312744,False,4
1024MB,spatial,16.38 GB,hal24,24,128gb,4,climatology,1.159195899963379,False,4
1024MB,spatial,16.38 GB,hal24,24,128gb,4,anomaly,4.400139808654785,False,4
1024MB,temporal,16.38 GB,hal24,24,128gb,4,global_mean,1.900233268737793,False,4
1024MB,temporal,16.38 GB,hal24,24,128gb,4,temporal_mean,2.3781754970550537,False,4
1024MB,temporal,16.38 GB,hal24,24,128gb,4,climatology,1.2630574703216553,False,4
1024MB,temporal,16.38 GB,hal24,24,128gb,4,anomaly,2.645045042037964,False,4
1024MB,auto,16.38 GB,hal24,24,128gb,4,global_mean,1.9834423065185547,False,4
1024MB,auto,16.38 GB,hal24,24,128gb,4,temporal_mean,1.7057406902313232,False,4
1024MB,auto,16.38 GB,hal24,24,128gb,4,climatology,1.1035830974578857,False,4
1024MB,auto,16.38 GB,hal24,24,128gb,4,anomaly,4.689887285232544,False,4
