chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,worker_per_node
64MB,spatial,4.10 GB,hal24,24,128gb,8,global_mean,0.2572789192199707,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,temporal_mean,0.2700328826904297,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,climatology,0.9584667682647705,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,anomaly,3.031222105026245,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,global_mean,0.2680339813232422,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,temporal_mean,0.24340367317199707,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,climatology,0.4667689800262451,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,anomaly,1.13368821144104,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,global_mean,0.24840068817138672,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,temporal_mean,0.20317649841308594,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,climatology,0.6653144359588623,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,anomaly,1.4411828517913818,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,global_mean,0.2572789192199707,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,temporal_mean,0.2700328826904297,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,climatology,0.9584667682647705,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,anomaly,3.031222105026245,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,global_mean,0.2680339813232422,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,temporal_mean,0.24340367317199707,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,climatology,0.4667689800262451,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,anomaly,1.13368821144104,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,global_mean,0.24840068817138672,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,temporal_mean,0.20317649841308594,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,climatology,0.6653144359588623,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,anomaly,1.4411828517913818,False,8
128MB,spatial,8.19 GB,hal24,24,128gb,8,global_mean,0.37389135360717773,False,8
128MB,spatial,8.19 GB,hal24,24,128gb,8,temporal_mean,0.3570690155029297,False,8
128MB,spatial,8.19 GB,hal24,24,128gb,8,climatology,0.9825499057769775,False,8
128MB,spatial,8.19 GB,hal24,24,128gb,8,anomaly,5.399635076522827,False,8
128MB,temporal,8.19 GB,hal24,24,128gb,8,global_mean,0.3767821788787842,False,8
128MB,temporal,8.19 GB,hal24,24,128gb,8,temporal_mean,0.3456294536590576,False,8
128MB,temporal,8.19 GB,hal24,24,128gb,8,climatology,0.6000151634216309,False,8
128MB,temporal,8.19 GB,hal24,24,128gb,8,anomaly,1.3947203159332275,False,8
128MB,auto,8.19 GB,hal24,24,128gb,8,global_mean,0.3438889980316162,False,8
128MB,auto,8.19 GB,hal24,24,128gb,8,temporal_mean,0.32103514671325684,False,8
128MB,auto,8.19 GB,hal24,24,128gb,8,climatology,1.3233587741851807,False,8
128MB,auto,8.19 GB,hal24,24,128gb,8,anomaly,2.175779342651367,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,global_mean,0.2572789192199707,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,temporal_mean,0.2700328826904297,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,climatology,0.9584667682647705,False,8
64MB,spatial,4.10 GB,hal24,24,128gb,8,anomaly,3.031222105026245,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,global_mean,0.2680339813232422,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,temporal_mean,0.24340367317199707,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,climatology,0.4667689800262451,False,8
64MB,temporal,4.10 GB,hal24,24,128gb,8,anomaly,1.13368821144104,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,global_mean,0.24840068817138672,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,temporal_mean,0.20317649841308594,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,climatology,0.6653144359588623,False,8
64MB,auto,4.10 GB,hal24,24,128gb,8,anomaly,1.4411828517913818,False,8
128MB,spatial,8.19 GB,hal24,24,128gb,8,global_mean,0.37389135360717773,False,8
128MB,spatial,8.19 GB,hal24,24,128gb,8,temporal_mean,0.3570690155029297,False,8
128MB,spatial,8.19 GB,hal24,24,128gb,8,climatology,0.9825499057769775,False,8
128MB,spatial,8.19 GB,hal24,24,128gb,8,anomaly,5.399635076522827,False,8
128MB,temporal,8.19 GB,hal24,24,128gb,8,global_mean,0.3767821788787842,False,8
128MB,temporal,8.19 GB,hal24,24,128gb,8,temporal_mean,0.3456294536590576,False,8
128MB,temporal,8.19 GB,hal24,24,128gb,8,climatology,0.6000151634216309,False,8
128MB,temporal,8.19 GB,hal24,24,128gb,8,anomaly,1.3947203159332275,False,8
128MB,auto,8.19 GB,hal24,24,128gb,8,global_mean,0.3438889980316162,False,8
128MB,auto,8.19 GB,hal24,24,128gb,8,temporal_mean,0.32103514671325684,False,8
128MB,auto,8.19 GB,hal24,24,128gb,8,climatology,1.3233587741851807,False,8
128MB,auto,8.19 GB,hal24,24,128gb,8,anomaly,2.175779342651367,False,8
256MB,spatial,16.38 GB,hal24,24,128gb,8,global_mean,0.5636281967163086,False,8
256MB,spatial,16.38 GB,hal24,24,128gb,8,temporal_mean,0.620485782623291,False,8
256MB,spatial,16.38 GB,hal24,24,128gb,8,climatology,0.9013290405273438,False,8
256MB,spatial,16.38 GB,hal24,24,128gb,8,anomaly,13.154722213745117,False,8
256MB,temporal,16.38 GB,hal24,24,128gb,8,global_mean,0.7069094181060791,False,8
256MB,temporal,16.38 GB,hal24,24,128gb,8,temporal_mean,0.5380711555480957,False,8
256MB,temporal,16.38 GB,hal24,24,128gb,8,climatology,1.0826635360717773,False,8
256MB,temporal,16.38 GB,hal24,24,128gb,8,anomaly,1.6755485534667969,False,8
256MB,auto,16.38 GB,hal24,24,128gb,8,global_mean,0.5283966064453125,False,8
256MB,auto,16.38 GB,hal24,24,128gb,8,temporal_mean,0.5582084655761719,False,8
