chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,temporal,256.58 MB,hal,8,global_mean,0.25463247299194336,4
8MB,temporal,256.58 MB,hal,8,temporal_mean,0.09790658950805664,4
8MB,temporal,256.58 MB,hal,8,climatology,0.27437448501586914,4
8MB,temporal,256.58 MB,hal,8,anomaly,0.366957426071167,4
8MB,auto,256.58 MB,hal,8,global_mean,0.2817811965942383,4
8MB,auto,256.58 MB,hal,8,temporal_mean,0.1272287368774414,4
8MB,auto,256.58 MB,hal,8,climatology,0.3137192726135254,4
8MB,auto,256.58 MB,hal,8,anomaly,0.48049354553222656,4
16MB,spatial,512.17 MB,hal,8,global_mean,0.1296558380126953,4
16MB,spatial,512.17 MB,hal,8,temporal_mean,0.12934398651123047,4
16MB,spatial,512.17 MB,hal,8,climatology,0.39629244804382324,4
16MB,spatial,512.17 MB,hal,8,anomaly,0.7557029724121094,4
16MB,temporal,512.17 MB,hal,8,global_mean,0.26048851013183594,4
16MB,temporal,512.17 MB,hal,8,temporal_mean,0.12203764915466309,4
16MB,temporal,512.17 MB,hal,8,climatology,0.34052491188049316,4
16MB,temporal,512.17 MB,hal,8,anomaly,0.5280656814575195,4
16MB,auto,512.17 MB,hal,8,global_mean,0.17300105094909668,4
16MB,auto,512.17 MB,hal,8,temporal_mean,0.15450191497802734,4
16MB,auto,512.17 MB,hal,8,climatology,0.42356061935424805,4
16MB,auto,512.17 MB,hal,8,anomaly,0.9006443023681641,4
32MB,spatial,1.02 GB,hal,8,global_mean,0.15303587913513184,4
32MB,spatial,1.02 GB,hal,8,temporal_mean,0.1514873504638672,4
32MB,spatial,1.02 GB,hal,8,climatology,0.4276154041290283,4
32MB,spatial,1.02 GB,hal,8,anomaly,0.8872730731964111,4
32MB,temporal,1.02 GB,hal,8,global_mean,0.2928285598754883,4
32MB,temporal,1.02 GB,hal,8,temporal_mean,0.14275693893432617,4
32MB,temporal,1.02 GB,hal,8,climatology,0.3135535717010498,4
32MB,temporal,1.02 GB,hal,8,anomaly,0.5186820030212402,4
32MB,auto,1.02 GB,hal,8,global_mean,0.19177913665771484,4
32MB,auto,1.02 GB,hal,8,temporal_mean,0.18941569328308105,4
32MB,auto,1.02 GB,hal,8,climatology,0.5221550464630127,4
32MB,auto,1.02 GB,hal,8,anomaly,1.0332562923431396,4
64MB,spatial,2.05 GB,hal,8,global_mean,0.2144167423248291,4
64MB,spatial,2.05 GB,hal,8,temporal_mean,0.22423219680786133,4
64MB,spatial,2.05 GB,hal,8,climatology,0.478992223739624,4
64MB,spatial,2.05 GB,hal,8,anomaly,1.1728334426879883,4
64MB,temporal,2.05 GB,hal,8,global_mean,0.3620116710662842,4
64MB,temporal,2.05 GB,hal,8,temporal_mean,0.167741060256958,4
64MB,temporal,2.05 GB,hal,8,climatology,0.43874597549438477,4
64MB,temporal,2.05 GB,hal,8,anomaly,0.9224255084991455,4
64MB,auto,2.05 GB,hal,8,global_mean,0.22408246994018555,4
64MB,auto,2.05 GB,hal,8,temporal_mean,0.17863154411315918,4
64MB,auto,2.05 GB,hal,8,climatology,0.45163655281066895,4
64MB,auto,2.05 GB,hal,8,anomaly,0.7703385353088379,4
128MB,spatial,4.10 GB,hal,8,global_mean,0.27004003524780273,4
128MB,spatial,4.10 GB,hal,8,temporal_mean,0.3203883171081543,4
128MB,spatial,4.10 GB,hal,8,climatology,0.5475254058837891,4
128MB,spatial,4.10 GB,hal,8,anomaly,1.903764009475708,4
128MB,temporal,4.10 GB,hal,8,global_mean,0.4611833095550537,4
128MB,temporal,4.10 GB,hal,8,temporal_mean,0.2563319206237793,4
128MB,temporal,4.10 GB,hal,8,climatology,0.6498467922210693,4
128MB,temporal,4.10 GB,hal,8,anomaly,1.1272876262664795,4
128MB,auto,4.10 GB,hal,8,global_mean,0.327221155166626,4
128MB,auto,4.10 GB,hal,8,temporal_mean,0.43909144401550293,4
128MB,auto,4.10 GB,hal,8,climatology,0.7122013568878174,4
128MB,auto,4.10 GB,hal,8,anomaly,2.1934616565704346,4
8MB,spatial,256.58 MB,hal,8,global_mean,0.33870649337768555,4
8MB,spatial,256.58 MB,hal,8,temporal_mean,0.13869094848632812,4
8MB,spatial,256.58 MB,hal,8,climatology,0.38924455642700195,4
8MB,spatial,256.58 MB,hal,8,anomaly,0.4875361919403076,4
8MB,temporal,256.58 MB,hal,8,global_mean,0.25463247299194336,4
8MB,temporal,256.58 MB,hal,8,temporal_mean,0.09790658950805664,4
8MB,temporal,256.58 MB,hal,8,climatology,0.27437448501586914,4
8MB,temporal,256.58 MB,hal,8,anomaly,0.366957426071167,4
8MB,auto,256.58 MB,hal,8,global_mean,0.2817811965942383,4
8MB,auto,256.58 MB,hal,8,temporal_mean,0.1272287368774414,4
8MB,auto,256.58 MB,hal,8,climatology,0.3137192726135254,4
8MB,auto,256.58 MB,hal,8,anomaly,0.48049354553222656,4
16MB,spatial,512.17 MB,hal,8,global_mean,0.1296558380126953,4
16MB,spatial,512.17 MB,hal,8,temporal_mean,0.12934398651123047,4
16MB,spatial,512.17 MB,hal,8,climatology,0.39629244804382324,4
16MB,spatial,512.17 MB,hal,8,anomaly,0.7557029724121094,4
16MB,temporal,512.17 MB,hal,8,global_mean,0.26048851013183594,4
16MB,temporal,512.17 MB,hal,8,temporal_mean,0.12203764915466309,4
16MB,temporal,512.17 MB,hal,8,climatology,0.34052491188049316,4
16MB,temporal,512.17 MB,hal,8,anomaly,0.5280656814575195,4
16MB,auto,512.17 MB,hal,8,global_mean,0.17300105094909668,4
16MB,auto,512.17 MB,hal,8,temporal_mean,0.15450191497802734,4
16MB,auto,512.17 MB,hal,8,climatology,0.42356061935424805,4
16MB,auto,512.17 MB,hal,8,anomaly,0.9006443023681641,4
32MB,spatial,1.02 GB,hal,8,global_mean,0.15303587913513184,4
32MB,spatial,1.02 GB,hal,8,temporal_mean,0.1514873504638672,4
32MB,spatial,1.02 GB,hal,8,climatology,0.4276154041290283,4
32MB,spatial,1.02 GB,hal,8,anomaly,0.8872730731964111,4
32MB,temporal,1.02 GB,hal,8,global_mean,0.2928285598754883,4
32MB,temporal,1.02 GB,hal,8,temporal_mean,0.14275693893432617,4
32MB,temporal,1.02 GB,hal,8,climatology,0.3135535717010498,4
32MB,temporal,1.02 GB,hal,8,anomaly,0.5186820030212402,4
32MB,auto,1.02 GB,hal,8,global_mean,0.19177913665771484,4
32MB,auto,1.02 GB,hal,8,temporal_mean,0.18941569328308105,4
32MB,auto,1.02 GB,hal,8,climatology,0.5221550464630127,4
32MB,auto,1.02 GB,hal,8,anomaly,1.0332562923431396,4
64MB,spatial,2.05 GB,hal,8,global_mean,0.2144167423248291,4
64MB,spatial,2.05 GB,hal,8,temporal_mean,0.22423219680786133,4
64MB,spatial,2.05 GB,hal,8,climatology,0.478992223739624,4
64MB,spatial,2.05 GB,hal,8,anomaly,1.1728334426879883,4
64MB,temporal,2.05 GB,hal,8,global_mean,0.3620116710662842,4
64MB,temporal,2.05 GB,hal,8,temporal_mean,0.167741060256958,4
64MB,temporal,2.05 GB,hal,8,climatology,0.43874597549438477,4
64MB,temporal,2.05 GB,hal,8,anomaly,0.9224255084991455,4
64MB,auto,2.05 GB,hal,8,global_mean,0.22408246994018555,4
64MB,auto,2.05 GB,hal,8,temporal_mean,0.17863154411315918,4
64MB,auto,2.05 GB,hal,8,climatology,0.45163655281066895,4
64MB,auto,2.05 GB,hal,8,anomaly,0.7703385353088379,4
128MB,spatial,4.10 GB,hal,8,global_mean,0.27004003524780273,4
128MB,spatial,4.10 GB,hal,8,temporal_mean,0.3203883171081543,4
128MB,spatial,4.10 GB,hal,8,climatology,0.5475254058837891,4
128MB,spatial,4.10 GB,hal,8,anomaly,1.903764009475708,4
128MB,temporal,4.10 GB,hal,8,global_mean,0.4611833095550537,4
128MB,temporal,4.10 GB,hal,8,temporal_mean,0.2563319206237793,4
128MB,temporal,4.10 GB,hal,8,climatology,0.6498467922210693,4
128MB,temporal,4.10 GB,hal,8,anomaly,1.1272876262664795,4
128MB,auto,4.10 GB,hal,8,global_mean,0.327221155166626,4
128MB,auto,4.10 GB,hal,8,temporal_mean,0.43909144401550293,4
128MB,auto,4.10 GB,hal,8,climatology,0.7122013568878174,4
128MB,auto,4.10 GB,hal,8,anomaly,2.1934616565704346,4
256MB,spatial,8.19 GB,hal,8,global_mean,0.4795036315917969,4
256MB,spatial,8.19 GB,hal,8,temporal_mean,0.4755280017852783,4
256MB,spatial,8.19 GB,hal,8,climatology,1.2341365814208984,4
256MB,spatial,8.19 GB,hal,8,anomaly,3.834336280822754,4
256MB,temporal,8.19 GB,hal,8,global_mean,0.6326260566711426,4
256MB,temporal,8.19 GB,hal,8,temporal_mean,0.4368607997894287,4
256MB,temporal,8.19 GB,hal,8,climatology,1.0031683444976807,4
256MB,temporal,8.19 GB,hal,8,anomaly,1.5945916175842285,4
256MB,auto,8.19 GB,hal,8,global_mean,0.537590503692627,4
256MB,auto,8.19 GB,hal,8,temporal_mean,0.4417455196380615,4
256MB,auto,8.19 GB,hal,8,climatology,1.5868840217590332,4
256MB,auto,8.19 GB,hal,8,anomaly,3.1698644161224365,4
