chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,spatial,256.58 MB,hal,4,global_mean,0.12801694869995117,8
8MB,spatial,256.58 MB,hal,4,temporal_mean,0.12137460708618164,8
8MB,spatial,256.58 MB,hal,4,climatology,0.39534854888916016,8
8MB,spatial,256.58 MB,hal,4,anomaly,0.4983494281768799,8
8MB,temporal,256.58 MB,hal,4,global_mean,0.24152278900146484,8
8MB,temporal,256.58 MB,hal,4,temporal_mean,0.09909915924072266,8
8MB,temporal,256.58 MB,hal,4,climatology,0.2519204616546631,8
8MB,temporal,256.58 MB,hal,4,anomaly,0.629946231842041,8
8MB,auto,256.58 MB,hal,4,global_mean,0.11345076560974121,8
8MB,auto,256.58 MB,hal,4,temporal_mean,0.11682367324829102,8
8MB,auto,256.58 MB,hal,4,climatology,0.32086849212646484,8
8MB,auto,256.58 MB,hal,4,anomaly,0.47823119163513184,8
8MB,spatial,256.58 MB,hal,4,global_mean,0.12801694869995117,8
8MB,spatial,256.58 MB,hal,4,temporal_mean,0.12137460708618164,8
8MB,spatial,256.58 MB,hal,4,climatology,0.39534854888916016,8
8MB,spatial,256.58 MB,hal,4,anomaly,0.4983494281768799,8
8MB,temporal,256.58 MB,hal,4,global_mean,0.24152278900146484,8
8MB,temporal,256.58 MB,hal,4,temporal_mean,0.09909915924072266,8
8MB,temporal,256.58 MB,hal,4,climatology,0.2519204616546631,8
8MB,temporal,256.58 MB,hal,4,anomaly,0.629946231842041,8
8MB,auto,256.58 MB,hal,4,global_mean,0.11345076560974121,8
8MB,auto,256.58 MB,hal,4,temporal_mean,0.11682367324829102,8
8MB,auto,256.58 MB,hal,4,climatology,0.32086849212646484,8
8MB,auto,256.58 MB,hal,4,anomaly,0.47823119163513184,8
16MB,spatial,512.17 MB,hal,4,global_mean,0.13642287254333496,8
16MB,spatial,512.17 MB,hal,4,temporal_mean,0.13718652725219727,8
16MB,spatial,512.17 MB,hal,4,climatology,0.4099762439727783,8
16MB,spatial,512.17 MB,hal,4,anomaly,0.8715295791625977,8
16MB,temporal,512.17 MB,hal,4,global_mean,0.20723557472229004,8
16MB,temporal,512.17 MB,hal,4,temporal_mean,0.11972188949584961,8
16MB,temporal,512.17 MB,hal,4,climatology,0.273190975189209,8
16MB,temporal,512.17 MB,hal,4,anomaly,0.43576836585998535,8
16MB,auto,512.17 MB,hal,4,global_mean,0.16873502731323242,8
16MB,auto,512.17 MB,hal,4,temporal_mean,0.159376859664917,8
16MB,auto,512.17 MB,hal,4,climatology,0.7098715305328369,8
16MB,auto,512.17 MB,hal,4,anomaly,0.743206262588501,8
8MB,spatial,256.58 MB,hal,4,global_mean,0.12801694869995117,8
8MB,spatial,256.58 MB,hal,4,temporal_mean,0.12137460708618164,8
8MB,spatial,256.58 MB,hal,4,climatology,0.39534854888916016,8
8MB,spatial,256.58 MB,hal,4,anomaly,0.4983494281768799,8
8MB,temporal,256.58 MB,hal,4,global_mean,0.24152278900146484,8
8MB,temporal,256.58 MB,hal,4,temporal_mean,0.09909915924072266,8
8MB,temporal,256.58 MB,hal,4,climatology,0.2519204616546631,8
8MB,temporal,256.58 MB,hal,4,anomaly,0.629946231842041,8
8MB,auto,256.58 MB,hal,4,global_mean,0.11345076560974121,8
8MB,auto,256.58 MB,hal,4,temporal_mean,0.11682367324829102,8
8MB,auto,256.58 MB,hal,4,climatology,0.32086849212646484,8
8MB,auto,256.58 MB,hal,4,anomaly,0.47823119163513184,8
16MB,spatial,512.17 MB,hal,4,global_mean,0.13642287254333496,8
16MB,spatial,512.17 MB,hal,4,temporal_mean,0.13718652725219727,8
16MB,spatial,512.17 MB,hal,4,climatology,0.4099762439727783,8
16MB,spatial,512.17 MB,hal,4,anomaly,0.8715295791625977,8
16MB,temporal,512.17 MB,hal,4,global_mean,0.20723557472229004,8
16MB,temporal,512.17 MB,hal,4,temporal_mean,0.11972188949584961,8
16MB,temporal,512.17 MB,hal,4,climatology,0.273190975189209,8
16MB,temporal,512.17 MB,hal,4,anomaly,0.43576836585998535,8
16MB,auto,512.17 MB,hal,4,global_mean,0.16873502731323242,8
16MB,auto,512.17 MB,hal,4,temporal_mean,0.159376859664917,8
16MB,auto,512.17 MB,hal,4,climatology,0.7098715305328369,8
16MB,auto,512.17 MB,hal,4,anomaly,0.743206262588501,8
32MB,spatial,1.02 GB,hal,4,global_mean,0.14554929733276367,8
32MB,spatial,1.02 GB,hal,4,temporal_mean,0.15331101417541504,8
32MB,spatial,1.02 GB,hal,4,climatology,0.4318222999572754,8
32MB,spatial,1.02 GB,hal,4,anomaly,0.9919764995574951,8
32MB,temporal,1.02 GB,hal,4,global_mean,0.27768802642822266,8
32MB,temporal,1.02 GB,hal,4,temporal_mean,0.136519193649292,8
32MB,temporal,1.02 GB,hal,4,climatology,0.36597609519958496,8
32MB,temporal,1.02 GB,hal,4,anomaly,0.6503438949584961,8
32MB,auto,1.02 GB,hal,4,global_mean,0.20032572746276855,8
32MB,auto,1.02 GB,hal,4,temporal_mean,0.18948078155517578,8
32MB,auto,1.02 GB,hal,4,climatology,0.5315475463867188,8
32MB,auto,1.02 GB,hal,4,anomaly,0.9263489246368408,8
8MB,spatial,256.58 MB,hal,4,global_mean,0.12801694869995117,8
8MB,spatial,256.58 MB,hal,4,temporal_mean,0.12137460708618164,8
8MB,spatial,256.58 MB,hal,4,climatology,0.39534854888916016,8
8MB,spatial,256.58 MB,hal,4,anomaly,0.4983494281768799,8
8MB,temporal,256.58 MB,hal,4,global_mean,0.24152278900146484,8
8MB,temporal,256.58 MB,hal,4,temporal_mean,0.09909915924072266,8
8MB,temporal,256.58 MB,hal,4,climatology,0.2519204616546631,8
8MB,temporal,256.58 MB,hal,4,anomaly,0.629946231842041,8
8MB,auto,256.58 MB,hal,4,global_mean,0.11345076560974121,8
8MB,auto,256.58 MB,hal,4,temporal_mean,0.11682367324829102,8
8MB,auto,256.58 MB,hal,4,climatology,0.32086849212646484,8
8MB,auto,256.58 MB,hal,4,anomaly,0.47823119163513184,8
16MB,spatial,512.17 MB,hal,4,global_mean,0.13642287254333496,8
16MB,spatial,512.17 MB,hal,4,temporal_mean,0.13718652725219727,8
16MB,spatial,512.17 MB,hal,4,climatology,0.4099762439727783,8
16MB,spatial,512.17 MB,hal,4,anomaly,0.8715295791625977,8
16MB,temporal,512.17 MB,hal,4,global_mean,0.20723557472229004,8
16MB,temporal,512.17 MB,hal,4,temporal_mean,0.11972188949584961,8
16MB,temporal,512.17 MB,hal,4,climatology,0.273190975189209,8
16MB,temporal,512.17 MB,hal,4,anomaly,0.43576836585998535,8
16MB,auto,512.17 MB,hal,4,global_mean,0.16873502731323242,8
16MB,auto,512.17 MB,hal,4,temporal_mean,0.159376859664917,8
16MB,auto,512.17 MB,hal,4,climatology,0.7098715305328369,8
16MB,auto,512.17 MB,hal,4,anomaly,0.743206262588501,8
32MB,spatial,1.02 GB,hal,4,global_mean,0.14554929733276367,8
32MB,spatial,1.02 GB,hal,4,temporal_mean,0.15331101417541504,8
32MB,spatial,1.02 GB,hal,4,climatology,0.4318222999572754,8
32MB,spatial,1.02 GB,hal,4,anomaly,0.9919764995574951,8
32MB,temporal,1.02 GB,hal,4,global_mean,0.27768802642822266,8
32MB,temporal,1.02 GB,hal,4,temporal_mean,0.136519193649292,8
32MB,temporal,1.02 GB,hal,4,climatology,0.36597609519958496,8
32MB,temporal,1.02 GB,hal,4,anomaly,0.6503438949584961,8
32MB,auto,1.02 GB,hal,4,global_mean,0.20032572746276855,8
32MB,auto,1.02 GB,hal,4,temporal_mean,0.18948078155517578,8
32MB,auto,1.02 GB,hal,4,climatology,0.5315475463867188,8
32MB,auto,1.02 GB,hal,4,anomaly,0.9263489246368408,8
64MB,spatial,2.05 GB,hal,4,global_mean,0.36315345764160156,8
64MB,spatial,2.05 GB,hal,4,temporal_mean,0.2063741683959961,8
64MB,spatial,2.05 GB,hal,4,climatology,0.47045421600341797,8
64MB,spatial,2.05 GB,hal,4,anomaly,1.2563929557800293,8
64MB,temporal,2.05 GB,hal,4,global_mean,0.3009934425354004,8
64MB,temporal,2.05 GB,hal,4,temporal_mean,0.16757655143737793,8
64MB,temporal,2.05 GB,hal,4,climatology,0.4665358066558838,8
64MB,temporal,2.05 GB,hal,4,anomaly,0.7162985801696777,8
64MB,auto,2.05 GB,hal,4,global_mean,0.21503257751464844,8
64MB,auto,2.05 GB,hal,4,temporal_mean,0.16701722145080566,8
64MB,auto,2.05 GB,hal,4,climatology,0.45285820960998535,8
64MB,auto,2.05 GB,hal,4,anomaly,0.755302906036377,8
8MB,spatial,256.58 MB,hal,4,global_mean,0.12801694869995117,8
8MB,spatial,256.58 MB,hal,4,temporal_mean,0.12137460708618164,8
8MB,spatial,256.58 MB,hal,4,climatology,0.39534854888916016,8
8MB,spatial,256.58 MB,hal,4,anomaly,0.4983494281768799,8
8MB,temporal,256.58 MB,hal,4,global_mean,0.24152278900146484,8
8MB,temporal,256.58 MB,hal,4,temporal_mean,0.09909915924072266,8
8MB,temporal,256.58 MB,hal,4,climatology,0.2519204616546631,8
8MB,temporal,256.58 MB,hal,4,anomaly,0.629946231842041,8
8MB,auto,256.58 MB,hal,4,global_mean,0.11345076560974121,8
8MB,auto,256.58 MB,hal,4,temporal_mean,0.11682367324829102,8
8MB,auto,256.58 MB,hal,4,climatology,0.32086849212646484,8
8MB,auto,256.58 MB,hal,4,anomaly,0.47823119163513184,8
16MB,spatial,512.17 MB,hal,4,global_mean,0.13642287254333496,8
16MB,spatial,512.17 MB,hal,4,temporal_mean,0.13718652725219727,8
16MB,spatial,512.17 MB,hal,4,climatology,0.4099762439727783,8
16MB,spatial,512.17 MB,hal,4,anomaly,0.8715295791625977,8
16MB,temporal,512.17 MB,hal,4,global_mean,0.20723557472229004,8
16MB,temporal,512.17 MB,hal,4,temporal_mean,0.11972188949584961,8
16MB,temporal,512.17 MB,hal,4,climatology,0.273190975189209,8
16MB,temporal,512.17 MB,hal,4,anomaly,0.43576836585998535,8
16MB,auto,512.17 MB,hal,4,global_mean,0.16873502731323242,8
16MB,auto,512.17 MB,hal,4,temporal_mean,0.159376859664917,8
16MB,auto,512.17 MB,hal,4,climatology,0.7098715305328369,8
16MB,auto,512.17 MB,hal,4,anomaly,0.743206262588501,8
32MB,spatial,1.02 GB,hal,4,global_mean,0.14554929733276367,8
32MB,spatial,1.02 GB,hal,4,temporal_mean,0.15331101417541504,8
32MB,spatial,1.02 GB,hal,4,climatology,0.4318222999572754,8
32MB,spatial,1.02 GB,hal,4,anomaly,0.9919764995574951,8
32MB,temporal,1.02 GB,hal,4,global_mean,0.27768802642822266,8
32MB,temporal,1.02 GB,hal,4,temporal_mean,0.136519193649292,8
32MB,temporal,1.02 GB,hal,4,climatology,0.36597609519958496,8
32MB,temporal,1.02 GB,hal,4,anomaly,0.6503438949584961,8
32MB,auto,1.02 GB,hal,4,global_mean,0.20032572746276855,8
