operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
spatial_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7023732662200928
temporal_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.28167200088500977
climatology,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.45230579376220703
anomaly,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.6637961864471436
spatial_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42004919052124023
temporal_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.3170304298400879
climatology,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42218613624572754
anomaly,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.6689834594726562
spatial_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.4992363452911377
temporal_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.3207242488861084
climatology,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.43712425231933594
anomaly,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.7958126068115234
spatial_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7023732662200928
temporal_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.28167200088500977
climatology,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.45230579376220703
anomaly,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.6637961864471436
spatial_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42004919052124023
temporal_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.3170304298400879
climatology,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42218613624572754
anomaly,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.6689834594726562
spatial_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.4992363452911377
temporal_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.3207242488861084
climatology,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.43712425231933594
anomaly,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.7958126068115234
spatial_mean,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.9098939895629883
temporal_mean,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.521329402923584
climatology,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7376508712768555
anomaly,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,1.2979445457458496
spatial_mean,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.6243288516998291
temporal_mean,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.4785754680633545
climatology,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.735673189163208
anomaly,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,1.350050687789917
spatial_mean,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.6104915142059326
temporal_mean,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.5215616226196289
climatology,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.6834616661071777
anomaly,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,1.3734748363494873
spatial_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7023732662200928
temporal_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.28167200088500977
climatology,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.45230579376220703
anomaly,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.6637961864471436
spatial_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42004919052124023
temporal_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.3170304298400879
climatology,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42218613624572754
anomaly,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.6689834594726562
spatial_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.4992363452911377
temporal_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.3207242488861084
climatology,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.43712425231933594
anomaly,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.7958126068115234
spatial_mean,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.9098939895629883
temporal_mean,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.521329402923584
climatology,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7376508712768555
anomaly,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,1.2979445457458496
spatial_mean,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.6243288516998291
temporal_mean,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.4785754680633545
climatology,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.735673189163208
anomaly,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,1.350050687789917
spatial_mean,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.6104915142059326
temporal_mean,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.5215616226196289
climatology,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.6834616661071777
anomaly,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,1.3734748363494873
spatial_mean,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,1.7083103656768799
temporal_mean,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,1.0808401107788086
climatology,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,1.5458502769470215
anomaly,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,2.5042881965637207
spatial_mean,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,1.5259945392608643
temporal_mean,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,1.1279027462005615
climatology,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,1.5981435775756836
anomaly,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,2.5993528366088867
spatial_mean,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,1.3703255653381348
temporal_mean,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,0.8459348678588867
climatology,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,1.4507555961608887
anomaly,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,2.694279193878174
spatial_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7023732662200928
temporal_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.28167200088500977
climatology,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.45230579376220703
anomaly,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.6637961864471436
spatial_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42004919052124023
temporal_mean,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.3170304298400879
climatology,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.42218613624572754
anomaly,32MB,10,1.28 GB,1,1,4,temporal,wrangler,128gb,24,False,0.6689834594726562
spatial_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.4992363452911377
temporal_mean,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.3207242488861084
climatology,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.43712425231933594
anomaly,32MB,10,1.28 GB,1,1,4,auto,wrangler,128gb,24,False,0.7958126068115234
spatial_mean,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.9098939895629883
temporal_mean,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.521329402923584
climatology,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7376508712768555
anomaly,64MB,10,2.56 GB,1,1,4,spatial,wrangler,128gb,24,False,1.2979445457458496
spatial_mean,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.6243288516998291
temporal_mean,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.4785754680633545
climatology,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,0.735673189163208
anomaly,64MB,10,2.56 GB,1,1,4,temporal,wrangler,128gb,24,False,1.350050687789917
spatial_mean,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.6104915142059326
temporal_mean,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.5215616226196289
climatology,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,0.6834616661071777
anomaly,64MB,10,2.56 GB,1,1,4,auto,wrangler,128gb,24,False,1.3734748363494873
spatial_mean,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,1.7083103656768799
temporal_mean,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,1.0808401107788086
climatology,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,1.5458502769470215
anomaly,128MB,10,5.12 GB,1,1,4,spatial,wrangler,128gb,24,False,2.5042881965637207
spatial_mean,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,1.5259945392608643
temporal_mean,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,1.1279027462005615
climatology,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,1.5981435775756836
anomaly,128MB,10,5.12 GB,1,1,4,temporal,wrangler,128gb,24,False,2.5993528366088867
spatial_mean,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,1.3703255653381348
temporal_mean,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,0.8459348678588867
climatology,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,1.4507555961608887
anomaly,128MB,10,5.12 GB,1,1,4,auto,wrangler,128gb,24,False,2.694279193878174
spatial_mean,256MB,10,10.24 GB,1,1,4,spatial,wrangler,128gb,24,False,3.151021957397461
temporal_mean,256MB,10,10.24 GB,1,1,4,spatial,wrangler,128gb,24,False,2.0254223346710205
climatology,256MB,10,10.24 GB,1,1,4,spatial,wrangler,128gb,24,False,2.55863094329834
anomaly,256MB,10,10.24 GB,1,1,4,spatial,wrangler,128gb,24,False,5.106844186782837
spatial_mean,256MB,10,10.24 GB,1,1,4,temporal,wrangler,128gb,24,False,2.9275708198547363
temporal_mean,256MB,10,10.24 GB,1,1,4,temporal,wrangler,128gb,24,False,2.13592267036438
climatology,256MB,10,10.24 GB,1,1,4,temporal,wrangler,128gb,24,False,3.052264451980591
anomaly,256MB,10,10.24 GB,1,1,4,temporal,wrangler,128gb,24,False,5.819962024688721
spatial_mean,256MB,10,10.24 GB,1,1,4,auto,wrangler,128gb,24,False,3.033296585083008
temporal_mean,256MB,10,10.24 GB,1,1,4,auto,wrangler,128gb,24,False,2.1996572017669678
climatology,256MB,10,10.24 GB,1,1,4,auto,wrangler,128gb,24,False,3.066248893737793
anomaly,256MB,10,10.24 GB,1,1,4,auto,wrangler,128gb,24,False,4.880880832672119
spatial_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.7023732662200928
temporal_mean,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.28167200088500977
climatology,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.45230579376220703
anomaly,32MB,10,1.28 GB,1,1,4,spatial,wrangler,128gb,24,False,0.6637961864471436
