operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
climatology,256MB,10,5.12 GB,1,1,2,auto,cheyenne,109gb,36,False,2.7463481426239014
anomaly,256MB,10,5.12 GB,1,1,2,auto,cheyenne,109gb,36,False,4.737804889678955
spatial_mean,64MB,10,1.28 GB,1,1,2,spatial,cheyenne,109gb,36,False,1.2968614101409912
temporal_mean,64MB,10,1.28 GB,1,1,2,spatial,cheyenne,109gb,36,False,0.7750651836395264
climatology,64MB,10,1.28 GB,1,1,2,spatial,cheyenne,109gb,36,False,0.8956191539764404
anomaly,64MB,10,1.28 GB,1,1,2,spatial,cheyenne,109gb,36,False,1.5213589668273926
spatial_mean,64MB,10,1.28 GB,1,1,2,temporal,cheyenne,109gb,36,False,0.6117324829101562
temporal_mean,64MB,10,1.28 GB,1,1,2,temporal,cheyenne,109gb,36,False,0.4479095935821533
climatology,64MB,10,1.28 GB,1,1,2,temporal,cheyenne,109gb,36,False,0.7145595550537109
anomaly,64MB,10,1.28 GB,1,1,2,temporal,cheyenne,109gb,36,False,1.2755458354949951
spatial_mean,64MB,10,1.28 GB,1,1,2,auto,cheyenne,109gb,36,False,0.8481440544128418
temporal_mean,64MB,10,1.28 GB,1,1,2,auto,cheyenne,109gb,36,False,0.4817163944244385
climatology,64MB,10,1.28 GB,1,1,2,auto,cheyenne,109gb,36,False,0.7013692855834961
anomaly,64MB,10,1.28 GB,1,1,2,auto,cheyenne,109gb,36,False,1.388237476348877
spatial_mean,128MB,10,2.56 GB,1,1,2,spatial,cheyenne,109gb,36,False,2.2540643215179443
temporal_mean,128MB,10,2.56 GB,1,1,2,spatial,cheyenne,109gb,36,False,1.4240305423736572
climatology,128MB,10,2.56 GB,1,1,2,spatial,cheyenne,109gb,36,False,1.307124137878418
anomaly,128MB,10,2.56 GB,1,1,2,spatial,cheyenne,109gb,36,False,2.955199956893921
spatial_mean,128MB,10,2.56 GB,1,1,2,temporal,cheyenne,109gb,36,False,2.1443533897399902
temporal_mean,128MB,10,2.56 GB,1,1,2,temporal,cheyenne,109gb,36,False,1.5128490924835205
climatology,128MB,10,2.56 GB,1,1,2,temporal,cheyenne,109gb,36,False,1.9845664501190186
anomaly,128MB,10,2.56 GB,1,1,2,temporal,cheyenne,109gb,36,False,3.6401689052581787
spatial_mean,128MB,10,2.56 GB,1,1,2,auto,cheyenne,109gb,36,False,1.2320849895477295
temporal_mean,128MB,10,2.56 GB,1,1,2,auto,cheyenne,109gb,36,False,0.8711247444152832
climatology,128MB,10,2.56 GB,1,1,2,auto,cheyenne,109gb,36,False,1.3344612121582031
anomaly,128MB,10,2.56 GB,1,1,2,auto,cheyenne,109gb,36,False,2.5077261924743652
spatial_mean,256MB,10,5.12 GB,1,1,2,spatial,cheyenne,109gb,36,False,4.357490539550781
temporal_mean,256MB,10,5.12 GB,1,1,2,spatial,cheyenne,109gb,36,False,2.8056466579437256
climatology,256MB,10,5.12 GB,1,1,2,spatial,cheyenne,109gb,36,False,2.857207775115967
anomaly,256MB,10,5.12 GB,1,1,2,spatial,cheyenne,109gb,36,False,7.486342906951904
spatial_mean,256MB,10,5.12 GB,1,1,2,temporal,cheyenne,109gb,36,False,4.117565155029297
temporal_mean,256MB,10,5.12 GB,1,1,2,temporal,cheyenne,109gb,36,False,2.9179623126983643
climatology,256MB,10,5.12 GB,1,1,2,temporal,cheyenne,109gb,36,False,4.192051887512207
anomaly,256MB,10,5.12 GB,1,1,2,temporal,cheyenne,109gb,36,False,6.963480234146118
spatial_mean,256MB,10,5.12 GB,1,1,2,auto,cheyenne,109gb,36,False,4.214924573898315
temporal_mean,256MB,10,5.12 GB,1,1,2,auto,cheyenne,109gb,36,False,2.968174695968628
climatology,256MB,10,5.12 GB,1,1,2,auto,cheyenne,109gb,36,False,2.7463481426239014
anomaly,256MB,10,5.12 GB,1,1,2,auto,cheyenne,109gb,36,False,4.737804889678955
spatial_mean,512MB,10,10.24 GB,1,1,2,spatial,cheyenne,109gb,36,False,10.186163663864136
temporal_mean,512MB,10,10.24 GB,1,1,2,spatial,cheyenne,109gb,36,False,5.567827939987183
climatology,512MB,10,10.24 GB,1,1,2,spatial,cheyenne,109gb,36,False,9.470723628997803
anomaly,512MB,10,10.24 GB,1,1,2,spatial,cheyenne,109gb,36,False,19.13033962249756
spatial_mean,512MB,10,10.24 GB,1,1,2,temporal,cheyenne,109gb,36,False,8.017178297042847
temporal_mean,512MB,10,10.24 GB,1,1,2,temporal,cheyenne,109gb,36,False,5.6842920780181885
climatology,512MB,10,10.24 GB,1,1,2,temporal,cheyenne,109gb,36,False,8.72135853767395
anomaly,512MB,10,10.24 GB,1,1,2,temporal,cheyenne,109gb,36,False,13.93543028831482
spatial_mean,512MB,10,10.24 GB,1,1,2,auto,cheyenne,109gb,36,False,8.158380508422852
temporal_mean,512MB,10,10.24 GB,1,1,2,auto,cheyenne,109gb,36,False,5.861107110977173
climatology,512MB,10,10.24 GB,1,1,2,auto,cheyenne,109gb,36,False,8.75856876373291
anomaly,512MB,10,10.24 GB,1,1,2,auto,cheyenne,109gb,36,False,14.086257457733154
